               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.028176,            0.010758,            0.047179,             0.79833,             0.55103,             0.73988,             0.58375,            0.015884,           0.0035103,            0.024574,            0.005974,            0.005974,            0.005974
                 124,            0.026378,            0.011471,            0.047729,             0.59686,             0.61297,             0.72173,             0.57438,             0.01575,           0.0036295,            0.024713,            0.005941,            0.005941,            0.005941
                 125,            0.026752,            0.011069,            0.049153,             0.39645,              0.6977,             0.67368,             0.50934,            0.018509,           0.0035758,            0.025744,            0.005908,            0.005908,            0.005908
                 126,            0.026998,            0.011441,            0.046717,             0.45015,             0.74598,             0.73615,             0.53115,            0.017654,           0.0036127,            0.023832,            0.005875,            0.005875,            0.005875
                 127,             0.02674,            0.010972,            0.046137,             0.54307,               0.735,             0.75162,             0.56729,            0.016373,             0.00356,            0.022786,            0.005842,            0.005842,            0.005842
                 128,            0.025314,            0.010632,            0.044325,             0.50258,             0.69973,             0.72714,             0.55941,            0.016542,           0.0036469,            0.023925,            0.005809,            0.005809,            0.005809
                 129,            0.026576,            0.011193,            0.045615,              0.5474,             0.65935,             0.72263,             0.56619,            0.017295,           0.0037166,            0.024102,            0.005776,            0.005776,            0.005776
                 130,            0.025673,            0.010867,            0.048072,             0.46073,             0.74609,             0.70654,             0.54701,            0.015796,            0.003808,            0.024892,            0.005743,            0.005743,            0.005743
                 131,            0.024951,            0.010711,            0.047113,             0.49157,             0.77174,              0.7063,             0.56316,            0.015533,           0.0034821,            0.024166,             0.00571,             0.00571,             0.00571
                 132,            0.025424,            0.010261,             0.04682,             0.51584,             0.73433,             0.72781,             0.57788,            0.016535,           0.0034632,            0.024681,            0.005677,            0.005677,            0.005677
                 133,            0.025897,            0.010416,            0.045461,             0.52522,             0.71017,             0.72514,             0.57382,            0.016565,           0.0035437,            0.024642,            0.005644,            0.005644,            0.005644
                 134,            0.023667,             0.01048,            0.044703,             0.47411,             0.72873,             0.74994,             0.60293,            0.015858,           0.0034496,            0.023988,            0.005611,            0.005611,            0.005611
                 135,            0.024984,            0.010156,            0.042931,             0.45581,             0.72315,             0.73474,              0.5835,            0.017306,           0.0034684,            0.024826,            0.005578,            0.005578,            0.005578
                 136,            0.025645,            0.011124,            0.044324,              0.5106,             0.75425,             0.73662,              0.5735,            0.016045,           0.0034693,            0.023722,            0.005545,            0.005545,            0.005545
                 137,            0.025411,             0.01104,            0.046627,             0.64562,             0.63775,             0.73919,             0.59079,            0.016108,           0.0034653,            0.024917,            0.005512,            0.005512,            0.005512
                 138,              0.0251,            0.011084,            0.042336,             0.49597,             0.78237,             0.75608,              0.5987,            0.015934,           0.0035273,            0.023304,            0.005479,            0.005479,            0.005479
                 139,            0.025337,            0.010953,             0.04514,             0.52463,             0.77927,             0.77549,             0.61897,            0.015913,           0.0033253,            0.022856,            0.005446,            0.005446,            0.005446
                 140,             0.02641,            0.010118,            0.044731,              0.4658,              0.7288,             0.75554,             0.60458,            0.014949,           0.0033767,            0.022805,            0.005413,            0.005413,            0.005413
                 141,             0.02581,            0.011042,            0.042994,             0.57984,             0.74095,              0.7832,              0.6157,            0.015053,           0.0032267,            0.021574,             0.00538,             0.00538,             0.00538
                 142,            0.026436,            0.010756,             0.04276,             0.52136,             0.72545,             0.76687,             0.59474,            0.015046,           0.0034416,            0.022361,            0.005347,            0.005347,            0.005347
                 143,            0.025137,            0.010593,             0.04302,             0.53754,             0.75507,             0.77353,             0.59838,            0.015583,           0.0033112,            0.020608,            0.005314,            0.005314,            0.005314
                 144,            0.025214,            0.010655,            0.042616,             0.51258,             0.74652,             0.77668,             0.60623,            0.014614,            0.003365,            0.022387,            0.005281,            0.005281,            0.005281
                 145,            0.025449,            0.010522,            0.044204,             0.51966,             0.78019,             0.78291,              0.6232,            0.014591,           0.0033883,            0.020405,            0.005248,            0.005248,            0.005248
                 146,            0.023676,            0.010598,            0.040733,             0.52292,               0.774,             0.76376,             0.60347,            0.015114,           0.0035521,            0.020694,            0.005215,            0.005215,            0.005215
                 147,            0.025229,            0.010488,            0.041226,             0.54811,             0.78429,             0.76973,             0.63234,            0.015195,           0.0034179,            0.020666,            0.005182,            0.005182,            0.005182
                 148,            0.025935,            0.010656,            0.043184,              0.5527,             0.75784,             0.78609,             0.63538,            0.015609,           0.0037535,            0.020293,            0.005149,            0.005149,            0.005149
                 149,            0.024908,            0.010207,            0.040877,             0.57063,             0.67499,             0.73304,             0.58039,             0.01642,            0.003468,            0.021663,            0.005116,            0.005116,            0.005116
                 150,            0.026122,            0.010678,              0.0414,             0.58251,             0.71518,             0.75598,             0.59901,            0.015693,           0.0035373,            0.021805,            0.005083,            0.005083,            0.005083
                 151,            0.025508,            0.010157,             0.04206,             0.55868,             0.69544,             0.72161,             0.60057,            0.014392,            0.003503,            0.022791,             0.00505,             0.00505,             0.00505
                 152,            0.025207,            0.010894,            0.042977,             0.61755,             0.77518,             0.78929,             0.60605,            0.015392,           0.0033493,            0.020901,            0.005017,            0.005017,            0.005017
                 153,            0.024367,            0.010189,              0.0394,             0.60975,             0.77567,             0.79695,             0.64027,            0.014588,           0.0032975,            0.019755,            0.004984,            0.004984,            0.004984
                 154,            0.025434,            0.010738,            0.040081,             0.55468,             0.74092,             0.77819,             0.62779,            0.014938,           0.0033967,             0.01992,            0.004951,            0.004951,            0.004951
                 155,            0.025133,            0.010291,            0.041472,             0.50485,             0.73697,             0.77197,             0.62552,            0.015149,           0.0033817,            0.021257,            0.004918,            0.004918,            0.004918
                 156,            0.025637,            0.010603,            0.042757,             0.62862,             0.77142,             0.79313,             0.62969,            0.015806,           0.0034329,             0.01936,            0.004885,            0.004885,            0.004885
                 157,            0.024617,            0.010406,            0.039341,             0.50603,             0.80821,               0.809,             0.65302,             0.01508,           0.0034094,            0.019434,            0.004852,            0.004852,            0.004852
                 158,            0.024601,             0.01091,            0.039675,             0.67127,             0.71663,             0.79593,             0.63285,            0.015616,           0.0034003,            0.019801,            0.004819,            0.004819,            0.004819
                 159,            0.024097,            0.010501,            0.040021,             0.69512,             0.73332,             0.79397,             0.64387,            0.015759,            0.003513,            0.018171,            0.004786,            0.004786,            0.004786
                 160,            0.024405,            0.010001,            0.038558,             0.57247,             0.76581,             0.78754,             0.62683,            0.015261,           0.0035441,            0.019651,            0.004753,            0.004753,            0.004753
